station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
19,2012-01-02,25.0,15.0,20.0,-2.0,9.0,17.0,45.0,0.0,723.0,1629.0,0.0,0.0,29.47,30.2,17.8,31.0,18.1
20,2012-01-02,53.0,33.0,43.0,-2.0,21.0,35.0,22.0,0.0,723.0,1629.0,0.0,0.0,29.9,30.62,7.9,34.0,8.6
1,2012-01-03,32.0,11.0,22.0,-2.0,4.0,18.0,43.0,0.0,723.0,1629.0,0.0,0.0,29.67,29.87,10.8,31.0,11.6
2,2012-01-03,28.0,9.0,19.0,-6.0,4.0,16.0,46.0,0.0,716.0,1628.0,0.0,0.0,28.69,29.85,12.3,31.0,12.8
3,2012-01-03,55.0,21.0,38.0,2.0,19.0,32.0,27.0,0.0,735.0,1721.0,0.0,0.0,29.55,30.34,11.6,17.0,11.8
4,2012-01-03,62.0,31.0,47.0,-4.0,26.0,39.0,18.0,0.0,728.0,1743.0,0.0,0.0,29.7,30.48,3.1,17.0,4.2
6,2012-01-03,62.0,25.0,44.0,-5.0,26.0,37.0,21.0,0.0,727.0,1743.0,0.0,0.0,29.88,30.48,5.4,18.0,5.8
7,2012-01-03,60.0,27.0,44.0,-5.0,22.0,35.0,21.0,0.0,727.0,1743.0,0.0,0.0,28.84,30.3,15.7,19.0,15.9
8,2012-01-03,61.0,30.0,44.0,-5.0,28.0,38.0,21.0,0.0,727.0,1743.0,0.0,0.0,30.12,30.3,3.9,16.0,3.9
9,2012-01-03,28.0,10.0,19.0,-5.0,11.0,18.0,46.0,0.0,727.0,1743.0,0.0,0.0,29.26,30.12,8.9,16.0,9.2
10,2012-01-03,48.0,34.0,41.0,-5.0,11.0,31.0,24.0,0.0,723.0,1739.0,0.0,0.0,30.27,30.33,11.8,31.0,12.1
11,2012-01-03,44.0,25.0,35.0,-18.0,12.0,28.0,30.0,0.0,724.0,1738.0,0.0,0.0,30.26,30.33,9.3,31.0,9.7
12,2012-01-03,47.0,34.0,41.0,-18.0,12.0,30.0,24.0,0.0,724.0,1738.0,0.0,0.0,30.25,30.33,12.9,32.0,13.2
13,2012-01-03,55.0,31.0,43.0,-18.0,16.0,33.0,22.0,0.0,724.0,1738.0,0.0,0.0,24.4,30.23,2.9,21.0,6.3
14,2012-01-03,60.0,24.0,42.0,5.0,23.0,33.0,23.0,0.0,740.0,1730.0,0.0,0.0,28.84,30.3,12.4,18.0,12.7
15,2012-01-03,30.0,5.0,18.0,-3.0,2.0,14.0,47.0,0.0,718.0,1623.0,0.0,0.0,29.44,29.87,13.1,31.0,13.7
16,2012-01-03,32.0,11.0,22.0,-3.0,6.0,18.0,43.0,0.0,718.0,1623.0,0.0,0.0,29.7,29.84,10.2,31.0,10.9
17,2012-01-03,55.0,19.0,37.0,-3.0,18.0,31.0,28.0,0.0,718.0,1623.0,0.0,0.0,29.61,30.36,6.9,18.0,7.0
18,2012-01-03,59.0,30.0,45.0,0.0,25.0,37.0,20.0,0.0,730.0,1734.0,0.0,0.0,29.84,30.41,8.8,17.0,9.1
19,2012-01-03,26.0,10.0,18.0,-3.0,5.0,15.0,47.0,0.0,723.0,1630.0,0.0,0.0,29.43,30.26,5.5,23.0,9.2
20,2012-01-03,59.0,30.0,45.0,-3.0,23.0,37.0,20.0,0.0,723.0,1630.0,0.0,0.0,29.63,30.41,7.9,17.0,8.5
1,2012-01-04,28.0,9.0,19.0,-3.0,-1.0,14.0,46.0,0.0,723.0,1630.0,0.0,0.0,29.86,30.03,6.3,27.0,8.3
2,2012-01-04,21.0,5.0,13.0,-11.0,0.0,11.0,52.0,0.0,716.0,1629.0,0.0,0.0,28.87,30.01,10.1,27.0,11.7
3,2012-01-04,63.0,31.0,47.0,11.0,26.0,37.0,18.0,0.0,735.0,1722.0,0.0,0.0,29.53,30.27,2.5,31.0,4.9
4,2012-01-04,73.0,41.0,57.0,6.0,39.0,47.0,8.0,0.0,728.0,1744.0,0.0,0.0,29.55,30.28,1.3,35.0,2.2
6,2012-01-04,71.0,31.0,51.0,2.0,41.0,45.0,14.0,0.0,728.0,1744.0,0.0,0.0,29.72,30.28,0.8,22.0,4.7
7,2012-01-04,58.0,32.0,45.0,2.0,28.0,37.0,20.0,0.0,728.0,1744.0,0.0,0.0,28.9,30.31,5.0,33.0,7.4
8,2012-01-04,72.0,37.0,45.0,2.0,45.0,49.0,20.0,0.0,728.0,1744.0,0.0,0.0,29.9,30.31,1.4,24.0,2.6
9,2012-01-04,39.0,20.0,30.0,2.0,22.0,26.0,35.0,0.0,728.0,1744.0,0.0,0.0,29.26,30.06,2.8,28.0,5.2
10,2012-01-04,53.0,32.0,43.0,2.0,16.0,33.0,22.0,0.0,724.0,1740.0,0.0,0.0,30.35,30.38,3.0,29.0,5.8
11,2012-01-04,54.0,22.0,38.0,-15.0,15.0,29.0,27.0,0.0,724.0,1739.0,0.0,0.0,30.34,30.37,2.3,27.0,3.1
12,2012-01-04,53.0,31.0,42.0,-15.0,17.0,32.0,23.0,0.0,724.0,1739.0,0.0,0.0,30.34,30.38,2.7,32.0,4.2
13,2012-01-04,58.0,27.0,43.0,-15.0,16.0,32.0,22.0,0.0,724.0,1739.0,0.0,0.0,24.49,30.36,5.5,19.0,6.1
14,2012-01-04,58.0,32.0,45.0,9.0,27.0,37.0,20.0,0.0,740.0,1731.0,0.0,0.0,28.89,30.29,6.1,34.0,7.6
15,2012-01-04,23.0,3.0,13.0,-8.0,-1.0,11.0,52.0,0.0,718.0,1624.0,0.0,0.0,29.63,30.02,5.1,30.0,6.4
16,2012-01-04,27.0,8.0,18.0,-8.0,-1.0,14.0,47.0,0.0,718.0,1624.0,0.0,0.0,29.9,30.0,7.9,28.0,9.9
17,2012-01-04,63.0,28.0,46.0,-8.0,25.0,36.0,19.0,0.0,718.0,1624.0,0.0,0.0,29.59,30.29,2.1,36.0,3.3
18,2012-01-04,62.0,37.0,50.0,5.0,33.0,41.0,15.0,0.0,730.0,1734.0,0.0,0.0,29.75,30.28,0.8,15.0,5.5
19,2012-01-04,34.0,24.0,29.0,8.0,17.0,25.0,36.0,0.0,723.0,1631.0,0.0,0.0,29.21,30.0,7.9,27.0,9.7
20,2012-01-04,62.0,38.0,50.0,8.0,32.0,41.0,15.0,0.0,723.0,1631.0,0.0,0.0,29.54,30.27,1.1,32.0,4.9
1,2012-01-05,38.0,25.0,32.0,8.0,13.0,25.0,33.0,0.0,723.0,1631.0,0.0,0.0,29.67,29.84,6.9,25.0,7.8
2,2012-01-05,31.0,20.0,26.0,2.0,12.0,21.0,39.0,0.0,716.0,1630.0,0.0,0.0,28.7,29.84,10.9,26.0,11.3
3,2012-01-05,68.0,31.0,50.0,14.0,28.0,41.0,15.0,0.0,735.0,1723.0,0.0,0.0,29.35,30.11,7.3,19.0,7.6
4,2012-01-05,70.0,44.0,57.0,6.0,41.0,49.0,8.0,0.0,728.0,1745.0,0.0,0.0,29.51,30.24,0.4,31.0,1.8
6,2012-01-05,71.0,38.0,55.0,6.0,43.0,50.0,10.0,0.0,728.0,1745.0,0.0,0.0,29.68,30.24,0.3,25.0,2.3
7,2012-01-05,66.0,28.0,47.0,6.0,29.0,40.0,18.0,0.0,728.0,1745.0,0.0,0.0,28.71,30.13,12.2,20.0,12.4
8,2012-01-05,70.0,46.0,47.0,6.0,46.0,52.0,18.0,0.0,728.0,1745.0,0.0,0.0,29.87,30.13,0.9,33.0,1.0
9,2012-01-05,46.0,21.0,34.0,6.0,28.0,32.0,31.0,0.0,728.0,1745.0,0.0,0.0,28.95,29.73,0.9,17.0,2.1
10,2012-01-05,68.0,36.0,52.0,6.0,37.0,45.0,13.0,0.0,724.0,1740.0,0.0,0.0,30.2,30.21,8.0,27.0,8.3
11,2012-01-05,68.0,31.0,50.0,-3.0,35.0,41.0,15.0,0.0,724.0,1740.0,0.0,0.0,30.2,30.21,6.6,27.0,8.3
12,2012-01-05,68.0,32.0,50.0,-3.0,38.0,44.0,15.0,0.0,724.0,1740.0,0.0,0.0,30.18,30.22,5.0,28.0,5.5
13,2012-01-05,66.0,35.0,51.0,-3.0,21.0,37.0,14.0,0.0,724.0,1740.0,0.0,0.0,24.26,30.04,4.2,21.0,5.0
14,2012-01-05,67.0,29.0,48.0,12.0,28.0,38.0,17.0,0.0,740.0,1732.0,0.0,0.0,28.71,30.14,9.8,21.0,10.3
15,2012-01-05,36.0,17.0,27.0,6.0,13.0,22.0,38.0,0.0,718.0,1625.0,0.0,0.0,29.42,29.82,3.5,29.0,5.8
16,2012-01-05,38.0,24.0,31.0,6.0,13.0,25.0,34.0,0.0,718.0,1625.0,0.0,0.0,29.7,29.82,6.9,27.0,8.1
17,2012-01-05,68.0,26.0,47.0,6.0,26.0,38.0,18.0,0.0,718.0,1625.0,0.0,0.0,29.42,30.14,4.3,20.0,4.4
18,2012-01-05,66.0,35.0,51.0,6.0,33.0,42.0,14.0,0.0,731.0,1735.0,0.0,0.0,29.66,30.21,2.7,18.0,2.9
19,2012-01-05,47.0,26.0,37.0,16.0,26.0,33.0,28.0,0.0,723.0,1631.0,0.0,0.0,29.02,29.83,8.4,23.0,8.5
20,2012-01-05,67.0,36.0,52.0,16.0,33.0,43.0,13.0,0.0,723.0,1631.0,0.0,0.0,29.46,30.21,2.1,23.0,4.4
1,2012-01-06,46.0,25.0,36.0,16.0,21.0,29.0,29.0,0.0,723.0,1631.0,0.0,0.0,29.68,29.84,0.3,1.0,2.4
2,2012-01-06,47.0,21.0,34.0,10.0,23.0,30.0,31.0,0.0,716.0,1630.0,0.2,0.01,28.71,29.81,6.4,22.0,6.8
3,2012-01-06,69.0,40.0,55.0,19.0,35.0,44.0,10.0,0.0,735.0,1724.0,0.0,0.0,29.16,29.89,6.1,18.0,9.6
4,2012-01-06,74.0,55.0,65.0,14.0,52.0,44.0,0.0,0.0,728.0,1745.0,0.0,0.0,29.26,29.89,4.2,19.0,5.4
6,2012-01-06,75.0,43.0,65.0,14.0,54.0,57.0,0.0,0.0,728.0,1745.0,0.0,0.0,29.44,29.99,10.6,19.0,10.8
7,2012-01-06,67.0,41.0,54.0,14.0,31.0,42.0,11.0,0.0,728.0,1745.0,0.0,0.0,28.51,29.89,7.3,22.0,14.4
8,2012-01-06,73.0,57.0,54.0,14.0,53.0,58.0,11.0,0.0,728.0,1745.0,0.0,0.0,29.65,29.89,7.7,20.0,8.0
9,2012-01-06,47.0,34.0,41.0,14.0,28.0,36.0,24.0,0.0,728.0,1745.0,0.0,0.0,29.0,29.75,9.3,28.0,9.5
10,2012-01-06,72.0,44.0,58.0,14.0,44.0,50.0,7.0,0.0,724.0,1741.0,0.0,0.0,30.14,30.16,2.8,21.0,4.4
11,2012-01-06,71.0,36.0,54.0,1.0,40.0,46.0,11.0,0.0,725.0,1741.0,0.0,0.0,30.12,30.16,1.8,25.0,2.1
12,2012-01-06,70.0,38.0,54.0,1.0,43.0,48.0,11.0,0.0,725.0,1741.0,0.0,0.0,30.12,30.17,2.4,24.0,2.6
13,2012-01-06,45.0,25.0,35.0,1.0,22.0,31.0,30.0,0.0,725.0,1741.0,0.0,0.0,24.21,30.01,3.6,12.0,6.2
14,2012-01-06,67.0,37.0,52.0,16.0,31.0,42.0,13.0,0.0,740.0,1733.0,0.0,0.0,28.5,29.89,5.1,21.0,12.2
15,2012-01-06,33.0,15.0,24.0,4.0,19.0,23.0,41.0,0.0,718.0,1626.0,0.2,0.01,29.46,29.83,0.6,35.0,1.8
16,2012-01-06,45.0,25.0,35.0,4.0,24.0,30.0,30.0,0.0,718.0,1626.0,0.2,0.01,29.72,29.82,1.6,19.0,2.6
17,2012-01-06,69.0,34.0,52.0,4.0,34.0,43.0,13.0,0.0,718.0,1626.0,0.0,0.0,29.23,29.92,3.4,19.0,7.5
18,2012-01-06,73.0,48.0,61.0,16.0,46.0,53.0,4.0,0.0,731.0,1736.0,0.0,0.0,29.39,29.93,8.6,19.0,9.1
19,2012-01-06,51.0,38.0,45.0,24.0,29.0,38.0,20.0,0.0,723.0,1632.0,0.0,0.0,28.95,29.71,7.2,27.0,7.9
20,2012-01-06,74.0,50.0,62.0,24.0,47.0,54.0,3.0,0.0,723.0,1632.0,0.0,0.0,29.19,29.93,7.0,19.0,8.0
1,2012-01-07,57.0,28.0,43.0,24.0,28.0,36.0,22.0,0.0,723.0,1632.0,0.0,0.0,29.57,29.76,3.0,26.0,3.6
2,2012-01-07,56.0,37.0,47.0,23.0,29.0,38.0,18.0,0.0,716.0,1631.0,0.0,0.0,28.63,29.75,8.9,26.0,9.6
3,2012-01-07,58.0,36.0,47.0,11.0,26.0,39.0,18.0,0.0,735.0,1725.0,0.0,0.0,29.36,30.06,8.2,1.0,8.9
4,2012-01-07,69.0,49.0,59.0,8.0,44.0,39.0,6.0,0.0,729.0,1746.0,0.0,0.0,29.36,30.06,1.0,30.0,2.3
6,2012-01-07,70.0,46.0,58.0,9.0,45.0,51.0,7.0,0.0,728.0,1746.0,0.0,0.0,29.47,30.0,1.6,33.0,3.4
7,2012-01-07,58.0,33.0,46.0,9.0,25.0,37.0,19.0,0.0,728.0,1746.0,0.0,0.0,28.69,30.06,9.8,2.0,10.4
8,2012-01-07,68.0,54.0,46.0,9.0,51.0,54.0,19.0,0.0,728.0,1746.0,0.0,0.0,29.63,30.06,0.4,31.0,1.7
9,2012-01-07,38.0,22.0,30.0,9.0,21.0,26.0,35.0,0.0,728.0,1746.0,0.0,0.0,29.36,30.11,5.3,30.0,7.4
10,2012-01-07,71.0,49.0,60.0,9.0,51.0,54.0,5.0,0.0,724.0,1742.0,0.0,0.01,30.11,30.15,1.9,20.0,3.0
11,2012-01-07,73.0,42.0,58.0,5.0,48.0,51.0,7.0,0.0,725.0,1742.0,0.0,0.01,30.1,30.15,2.0,27.0,2.3
12,2012-01-07,71.0,43.0,57.0,5.0,51.0,54.0,8.0,0.0,725.0,1742.0,0.0,0.01,30.09,30.15,1.9,25.0,2.4
13,2012-01-07,39.0,22.0,31.0,5.0,23.0,27.0,34.0,0.0,725.0,1742.0,0.0,0.16,24.19,30.07,4.6,33.0,5.9
14,2012-01-07,59.0,38.0,49.0,13.0,24.0,38.0,16.0,0.0,740.0,1734.0,0.0,0.0,28.66,30.05,11.0,3.0,11.8
15,2012-01-07,44.0,22.0,33.0,13.0,25.0,29.0,32.0,0.0,718.0,1627.0,0.0,0.0,29.35,29.75,0.6,29.0,0.9
16,2012-01-07,58.0,25.0,42.0,13.0,29.0,36.0,23.0,0.0,718.0,1627.0,0.0,0.0,29.6,29.73,2.8,29.0,3.7
17,2012-01-07,60.0,40.0,50.0,13.0,25.0,39.0,15.0,0.0,718.0,1627.0,0.0,0.0,29.41,30.08,9.2,2.0,9.4
18,2012-01-07,61.0,44.0,53.0,8.0,41.0,47.0,12.0,0.0,731.0,1737.0,0.0,0.0,29.47,29.98,4.3,31.0,6.4
19,2012-01-07,41.0,29.0,35.0,14.0,23.0,31.0,30.0,0.0,722.0,1633.0,0.0,0.0,29.32,30.03,7.4,30.0,7.7
20,2012-01-07,61.0,45.0,53.0,14.0,41.0,47.0,12.0,0.0,722.0,1633.0,0.0,0.0,29.27,29.97,5.9,29.0,8.1
1,2012-01-08,45.0,27.0,36.0,14.0,22.0,32.0,29.0,0.0,722.0,1633.0,0.0,0.0,29.9,30.11,5.1,30.0,6.6
2,2012-01-08,39.0,25.0,32.0,8.0,20.0,29.0,33.0,0.0,716.0,1633.0,0.0,0.0,28.95,30.11,10.8,29.0,11.0
3,2012-01-08,53.0,33.0,43.0,7.0,28.0,38.0,22.0,0.0,735.0,1726.0,0.0,0.0,29.45,30.16,8.3,36.0,8.4
4,2012-01-08,60.0,47.0,54.0,3.0,48.0,38.0,11.0,0.0,729.0,1747.0,0.0,0.05,29.31,30.16,2.4,3.0,3.6
6,2012-01-08,61.0,42.0,52.0,3.0,49.0,52.0,13.0,0.0,728.0,1747.0,0.0,0.01,29.47,30.0,7.7,2.0,8.1
7,2012-01-08,51.0,39.0,45.0,3.0,26.0,37.0,20.0,0.0,728.0,1747.0,0.0,0.0,28.78,30.16,10.6,1.0,10.8
8,2012-01-08,72.0,52.0,45.0,3.0,55.0,58.0,20.0,0.0,728.0,1747.0,0.0,0.03,29.64,30.16,1.1,36.0,1.2
9,2012-01-08,41.0,19.0,30.0,3.0,23.0,27.0,35.0,0.0,728.0,1747.0,0.0,0.0,29.42,30.22,1.1,19.0,1.9
10,2012-01-08,75.0,49.0,62.0,3.0,51.0,55.0,3.0,0.0,724.0,1743.0,0.0,0.0,30.17,30.21,3.0,14.0,3.1
11,2012-01-08,75.0,42.0,59.0,6.0,49.0,53.0,6.0,0.0,725.0,1742.0,0.0,0.0,30.17,30.21,2.0,15.0,2.5
12,2012-01-08,74.0,45.0,60.0,6.0,51.0,54.0,5.0,0.0,725.0,1742.0,0.0,0.0,30.16,30.22,1.1,14.0,1.5
13,2012-01-08,33.0,11.0,22.0,6.0,15.0,20.0,43.0,0.0,725.0,1742.0,0.0,0.0,24.32,30.29,3.8,18.0,4.6
14,2012-01-08,51.0,42.0,47.0,11.0,26.0,38.0,18.0,0.0,740.0,1735.0,0.0,0.0,28.76,30.14,10.5,2.0,10.8
15,2012-01-08,41.0,21.0,31.0,11.0,20.0,27.0,34.0,0.0,717.0,1628.0,0.0,0.0,29.67,30.11,7.4,31.0,7.9
16,2012-01-08,43.0,27.0,35.0,11.0,22.0,32.0,30.0,0.0,717.0,1628.0,0.0,0.0,29.93,30.08,6.0,30.0,6.8
17,2012-01-08,53.0,38.0,46.0,11.0,27.0,38.0,19.0,0.0,717.0,1628.0,0.0,0.0,29.5,30.18,7.2,1.0,7.6
18,2012-01-08,58.0,40.0,49.0,4.0,45.0,48.0,16.0,0.0,731.0,1738.0,0.0,0.02,29.56,30.07,3.8,2.0,4.1
19,2012-01-08,41.0,19.0,30.0,9.0,21.0,28.0,35.0,0.0,722.0,1635.0,0.0,0.0,29.53,30.29,4.4,23.0,4.5
20,2012-01-08,59.0,39.0,49.0,9.0,44.0,47.0,16.0,0.0,722.0,1635.0,0.0,0.13,29.34,30.06,4.7,1.0,5.8
1,2012-01-09,39.0,23.0,31.0,9.0,12.0,25.0,34.0,0.0,722.0,1635.0,0.0,0.0,30.06,30.2,2.3,23.0,4.0
2,2012-01-09,38.0,21.0,30.0,6.0,12.0,25.0,35.0,0.0,716.0,1634.0,0.0,0.0,29.05,30.2,6.9,25.0,7.9
3,2012-01-09,54.0,26.0,40.0,4.0,27.0,35.0,25.0,0.0,735.0,1727.0,0.0,0.0,29.46,30.2,6.6,35.0,7.2
4,2012-01-09,57.0,42.0,50.0,-1.0,47.0,48.0,15.0,0.0,729.0,1748.0,0.0,0.87,29.33,30.02,6.6,34.0,8.2
6,2012-01-09,58.0,43.0,51.0,2.0,48.0,49.0,14.0,0.0,728.0,1748.0,0.0,0.62,29.48,30.0,11.2,35.0,12.5
7,2012-01-09,52.0,27.0,40.0,2.0,26.0,34.0,25.0,0.0,728.0,1748.0,0.0,0.0,28.79,30.21,8.6,36.0,8.8
8,2012-01-09,68.0,48.0,40.0,2.0,50.0,52.0,25.0,0.0,728.0,1748.0,0.0,0.62,29.6,30.21,8.4,34.0,9.4
9,2012-01-09,49.0,27.0,38.0,2.0,25.0,33.0,27.0,0.0,728.0,1748.0,0.0,0.0,29.17,29.96,6.8,25.0,7.5
10,2012-01-09,75.0,52.0,64.0,2.0,54.0,58.0,1.0,0.0,724.0,1744.0,0.0,0.0,30.14,30.17,2.2,16.0,2.4
11,2012-01-09,76.0,46.0,61.0,8.0,51.0,54.0,4.0,0.0,725.0,1743.0,0.0,0.0,30.14,30.17,1.6,25.0,1.8
12,2012-01-09,75.0,49.0,62.0,8.0,53.0,56.0,3.0,0.0,725.0,1743.0,0.0,0.0,30.13,30.17,2.1,22.0,2.3
13,2012-01-09,47.0,17.0,32.0,8.0,19.0,27.0,33.0,0.0,725.0,1743.0,0.0,0.0,24.37,30.31,3.4,18.0,3.9
14,2012-01-09,51.0,32.0,42.0,6.0,26.0,35.0,23.0,0.0,740.0,1735.0,0.0,0.0,28.77,30.19,10.5,36.0,10.6
15,2012-01-09,35.0,15.0,25.0,5.0,13.0,21.0,40.0,0.0,717.0,1629.0,0.0,0.0,29.81,30.18,1.0,16.0,2.9
16,2012-01-09,38.0,21.0,30.0,5.0,14.0,25.0,35.0,0.0,717.0,1629.0,0.0,0.0,30.09,30.18,2.7,25.0,5.3
17,2012-01-09,55.0,32.0,44.0,5.0,26.0,36.0,21.0,0.0,717.0,1629.0,0.0,0.0,29.52,30.22,4.6,1.0,5.0
18,2012-01-09,51.0,44.0,48.0,3.0,43.0,45.0,17.0,0.0,731.0,1738.0,0.0,1.32,29.54,30.08,8.0,36.0,9.0
19,2012-01-09,46.0,27.0,37.0,16.0,26.0,32.0,28.0,0.0,722.0,1636.0,0.0,0.0,29.23,30.03,11.7,24.0,12.1
20,2012-01-09,50.0,44.0,47.0,16.0,43.0,45.0,18.0,0.0,722.0,1636.0,0.0,1.58,29.33,30.07,9.5,36.0,10.9
1,2012-01-10,47.0,29.0,38.0,16.0,24.0,32.0,27.0,0.0,722.0,1636.0,0.0,1.58,29.69,29.86,5.4,25.0,6.5
2,2012-01-10,41.0,25.0,33.0,9.0,24.0,30.0,32.0,0.0,716.0,1635.0,0.0,1.58,28.74,29.86,9.6,26.0,10.0
3,2012-01-10,51.0,30.0,41.0,5.0,29.0,37.0,24.0,0.0,735.0,1727.0,0.0,0.0,29.16,29.94,3.0,34.0,4.6
4,2012-01-10,58.0,41.0,50.0,-1.0,37.0,43.0,15.0,0.0,729.0,1749.0,0.0,0.0,29.24,29.97,5.5,30.0,7.1
6,2012-01-10,60.0,35.0,48.0,-1.0,37.0,43.0,17.0,0.0,728.0,1749.0,0.0,0.0,29.41,29.97,7.8,31.0,8.4
