date,store_nbr,station_nbr,item_nbr,units
2012-01-01,33,3,9,169
2012-01-01,33,3,44,354
2012-01-01,33,3,85,1
2012-01-01,33,3,92,1
2012-01-01,34,17,9,36
2012-01-01,34,17,31,1
2012-01-01,34,17,45,163
2012-01-01,34,17,52,1
2012-01-01,36,18,9,41
2012-01-01,36,18,44,94
2012-01-01,37,13,5,77
2012-01-01,37,13,45,53
2012-01-01,38,14,9,195
2012-01-01,38,14,45,135
2012-01-01,39,8,9,2
2012-01-01,39,8,36,6
2012-01-01,40,13,5,76
2012-01-01,40,13,45,48
2012-01-01,40,13,51,1
2012-01-01,41,12,16,42
2012-01-01,41,12,68,95
2012-01-01,42,14,5,154
2012-01-01,42,14,45,98
2012-01-01,43,11,16,71
2012-01-01,43,11,37,16
2012-01-01,44,12,5,26
2012-01-01,44,12,68,37
2012-01-01,45,16,9,7
2012-01-02,1,1,9,60
2012-01-02,1,1,28,5
2012-01-02,1,1,51,1
2012-01-02,2,14,5,147
2012-01-02,2,14,11,2
2012-01-02,2,14,44,153
2012-01-02,3,7,5,223
2012-01-02,3,7,45,114
2012-01-02,4,9,9,49
2012-01-02,4,9,27,9
2012-01-02,5,12,16,36
2012-01-02,5,12,20,1
2012-01-02,5,12,37,29
2012-01-02,6,14,9,147
2012-01-02,6,14,14,1
2012-01-02,6,14,45,85
2012-01-02,7,6,5,166
2012-01-02,7,6,7,1
2012-01-02,7,6,23,22
2012-01-02,7,6,93,2
2012-01-02,8,4,5,73
2012-01-02,8,4,23,15
2012-01-02,8,4,59,1
2012-01-02,9,17,5,67
2012-01-02,9,17,10,2
2012-01-02,9,17,45,127
2012-01-02,10,12,5,84
2012-01-02,10,12,21,3
2012-01-02,10,12,37,33
2012-01-02,11,10,9,49
2012-01-02,11,10,68,71
2012-01-02,12,11,16,53
2012-01-02,12,11,37,41
2012-01-02,13,6,5,99
2012-01-02,13,6,36,120
2012-01-02,13,6,46,3
2012-01-02,14,16,9,50
2012-01-02,14,16,50,4
2012-01-02,15,13,5,265
2012-01-02,15,13,17,5
2012-01-02,15,13,45,160
2012-01-02,16,2,16,42
2012-01-02,16,2,25,102
2012-01-02,16,2,39,1
2012-01-02,16,2,50,4
2012-01-02,17,20,9,254
2012-01-02,17,20,37,68
2012-01-02,17,20,48,123
2012-01-02,17,20,71,4
2012-01-02,18,17,5,40
2012-01-02,18,17,37,16
2012-01-02,19,15,16,30
2012-01-02,19,15,39,1
2012-01-02,19,15,69,4
2012-01-02,19,15,83,11
2012-01-02,19,15,93,2
2012-01-02,20,7,5,143
2012-01-02,20,7,41,51
2012-01-02,20,7,74,4
2012-01-02,21,3,5,137
2012-01-02,21,3,44,60
2012-01-02,22,10,9,112
2012-01-02,22,10,68,57
2012-01-02,23,17,5,47
2012-01-02,23,17,29,2
2012-01-02,23,17,45,43
2012-01-02,24,9,6,148
2012-01-02,24,9,43,92
2012-01-02,24,9,60,3
2012-01-02,25,13,9,170
2012-01-02,25,13,12,1
2012-01-02,25,13,45,133
2012-01-02,25,13,81,13
2012-01-02,26,17,5,46
2012-01-02,26,17,45,56
2012-01-02,27,10,9,53
2012-01-02,27,10,21,2
2012-01-02,27,10,68,41
2012-01-02,28,7,5,69
2012-01-02,28,7,45,95
2012-01-02,29,3,8,24
2012-01-02,29,3,41,13
2012-01-02,29,3,45,110
2012-01-02,30,19,16,76
2012-01-02,30,19,44,277
2012-01-02,30,19,49,2
2012-01-02,30,19,51,2
2012-01-02,31,17,9,29
2012-01-02,31,17,45,70
2012-01-02,32,13,9,115
2012-01-02,32,13,45,72
2012-01-02,32,13,58,1
2012-01-02,32,13,93,2
2012-01-02,33,3,9,195
2012-01-02,33,3,44,50
2012-01-02,34,17,9,88
2012-01-02,34,17,45,134
2012-01-02,34,17,52,3
2012-01-02,36,18,9,34
2012-01-02,36,18,30,1
2012-01-02,36,18,44,115
2012-01-02,37,13,5,102
2012-01-02,37,13,45,84
2012-01-02,37,13,53,3
2012-01-02,38,14,9,145
2012-01-02,38,14,45,137
2012-01-02,39,8,9,13
2012-01-02,39,8,36,13
2012-01-02,40,13,5,183
2012-01-02,40,13,45,116
2012-01-02,41,12,16,57
2012-01-02,41,12,68,150
2012-01-02,42,14,5,61
2012-01-02,42,14,45,89
2012-01-02,42,14,82,2
2012-01-02,43,11,16,92
2012-01-02,43,11,37,41
2012-01-02,43,11,73,2
2012-01-02,44,12,5,95
2012-01-02,44,12,68,93
2012-01-02,45,16,9,51
2012-01-02,45,16,50,2
2012-01-03,1,1,9,15
2012-01-03,1,1,28,9
2012-01-03,2,14,5,104
2012-01-03,2,14,44,109
2012-01-03,3,7,5,61
2012-01-03,3,7,45,75
2012-01-03,4,9,9,29
2012-01-03,4,9,27,5
2012-01-03,4,9,90,1
2012-01-03,5,12,16,33
2012-01-03,5,12,20,3
2012-01-03,5,12,37,18
2012-01-03,6,14,9,59
2012-01-03,6,14,45,26
2012-01-03,7,6,5,164
2012-01-03,7,6,7,3
2012-01-03,7,6,23,23
2012-01-03,8,4,5,87
2012-01-03,8,4,23,5
2012-01-03,9,17,5,158
2012-01-03,9,17,10,2
2012-01-03,9,17,45,70
2012-01-03,10,12,5,162
2012-01-03,10,12,21,3
2012-01-03,10,12,37,26
2012-01-03,11,10,9,42
2012-01-03,11,10,68,52
2012-01-03,12,11,16,36
2012-01-03,12,11,37,25
2012-01-03,13,6,5,196
2012-01-03,13,6,36,87
2012-01-03,13,6,46,10
2012-01-03,14,16,9,15
2012-01-03,14,16,25,18
2012-01-03,14,16,50,1
2012-01-03,14,16,70,1
2012-01-03,14,16,93,3
2012-01-03,15,13,5,174
2012-01-03,15,13,17,1
2012-01-03,15,13,45,128
2012-01-03,15,13,49,1
2012-01-03,16,2,16,20
2012-01-03,16,2,25,155
2012-01-03,16,2,39,1
2012-01-03,16,2,50,1
2012-01-03,17,20,9,149
2012-01-03,17,20,37,97
2012-01-03,17,20,48,223
2012-01-03,17,20,71,1
2012-01-03,18,17,5,12
2012-01-03,18,17,37,8
2012-01-03,19,15,16,35
2012-01-03,19,15,83,8
2012-01-03,20,7,5,117
2012-01-03,20,7,41,30
2012-01-03,20,7,74,6
2012-01-03,21,3,5,50
2012-01-03,21,3,44,72
2012-01-03,22,10,9,69
2012-01-03,22,10,68,65
2012-01-03,23,17,5,46
2012-01-03,23,17,29,1
2012-01-03,23,17,45,39
2012-01-03,24,9,6,105
2012-01-03,24,9,43,92
2012-01-03,24,9,60,1
2012-01-03,25,13,9,95
2012-01-03,25,13,45,119
2012-01-03,25,13,81,14
2012-01-03,26,17,5,94
2012-01-03,26,17,45,71
2012-01-03,27,10,9,36
2012-01-03,27,10,21,1
2012-01-03,27,10,68,57
2012-01-03,27,10,80,5
2012-01-03,28,7,5,113
2012-01-03,28,7,45,29
2012-01-03,29,3,8,53
2012-01-03,29,3,41,16
2012-01-03,29,3,45,92
2012-01-03,30,19,16,63
2012-01-03,30,19,44,292
2012-01-03,31,17,9,42
2012-01-03,31,17,45,71
2012-01-03,32,13,9,69
2012-01-03,32,13,45,46
2012-01-03,32,13,58,3
2012-01-03,33,3,9,182
2012-01-03,33,3,44,178
2012-01-03,33,3,92,1
2012-01-03,34,17,9,36
2012-01-03,34,17,31,1
2012-01-03,34,17,45,104
2012-01-03,34,17,52,3
2012-01-03,36,18,9,49
2012-01-03,36,18,30,1
2012-01-03,36,18,44,127
2012-01-03,37,13,5,86
2012-01-03,37,13,45,68
2012-01-03,37,13,53,1
2012-01-03,38,14,9,118
2012-01-03,38,14,45,79
2012-01-03,38,14,52,6
2012-01-03,39,8,9,2
2012-01-03,39,8,36,13
2012-01-03,40,13,5,58
2012-01-03,40,13,45,67
2012-01-03,41,12,16,51
2012-01-03,41,12,68,122
2012-01-03,42,14,5,72
2012-01-03,42,14,45,81
2012-01-03,42,14,82,1
2012-01-03,43,11,16,89
2012-01-03,43,11,37,30
2012-01-03,44,12,5,40
2012-01-03,44,12,68,97
2012-01-03,45,16,9,18
2012-01-04,1,1,9,20
2012-01-04,1,1,28,3
2012-01-04,2,14,5,58
2012-01-04,2,14,11,2
2012-01-04,2,14,44,148
2012-01-04,3,7,5,106
2012-01-04,3,7,45,71
2012-01-04,4,9,9,80
2012-01-04,4,9,27,8
2012-01-04,4,9,90,1
2012-01-04,5,12,16,20
2012-01-04,5,12,32,2
2012-01-04,5,12,37,16
2012-01-04,6,14,9,54
2012-01-04,6,14,14,7
2012-01-04,6,14,45,51
2012-01-04,7,6,5,124
2012-01-04,7,6,23,19
2012-01-04,7,6,93,3
2012-01-04,8,4,5,45
2012-01-04,8,4,23,4
2012-01-04,8,4,59,1
2012-01-04,9,17,5,69
2012-01-04,9,17,45,70
2012-01-04,9,17,93,1
2012-01-04,10,12,5,57
2012-01-04,10,12,21,1
2012-01-04,10,12,37,25
2012-01-04,11,10,9,60
2012-01-04,11,10,68,49
2012-01-04,12,11,16,30
2012-01-04,12,11,37,32
2012-01-04,12,11,79,2
2012-01-04,13,6,5,114
2012-01-04,13,6,36,115
2012-01-04,13,6,46,1
2012-01-04,14,16,9,9
2012-01-04,14,16,25,17
2012-01-04,14,16,50,2
2012-01-04,15,13,5,212
2012-01-04,15,13,17,1
2012-01-04,15,13,45,100
2012-01-04,16,2,16,24
2012-01-04,16,2,25,174
2012-01-04,17,20,9,201
2012-01-04,17,20,37,51
2012-01-04,17,20,48,148
2012-01-04,18,17,5,22
2012-01-04,18,17,37,17
2012-01-04,19,15,16,27
2012-01-04,19,15,69,1
2012-01-04,19,15,83,4
2012-01-04,20,7,5,96
2012-01-04,20,7,18,1
2012-01-04,20,7,41,24
2012-01-04,20,7,74,3
2012-01-04,21,3,5,38
2012-01-04,21,3,44,46
2012-01-04,22,10,9,60
2012-01-04,22,10,68,59
2012-01-04,23,17,5,69
2012-01-04,23,17,45,17
2012-01-04,24,9,6,107
2012-01-04,24,9,43,70
2012-01-04,25,13,9,141
2012-01-04,25,13,12,1
2012-01-04,25,13,45,121
2012-01-04,25,13,81,15
2012-01-04,26,17,5,43
2012-01-04,26,17,45,45
2012-01-04,27,10,9,41
2012-01-04,27,10,68,33
2012-01-04,27,10,93,10
2012-01-04,28,7,5,64
2012-01-04,28,7,45,48
2012-01-04,29,3,8,31
2012-01-04,29,3,41,10
2012-01-04,29,3,45,87
2012-01-04,29,3,56,3
2012-01-04,30,19,16,41
2012-01-04,30,19,44,189
2012-01-04,30,19,51,1
2012-01-04,31,17,9,29
2012-01-04,31,17,45,64
2012-01-04,32,13,9,54
2012-01-04,32,13,19,1
2012-01-04,32,13,45,50
2012-01-04,32,13,58,2
2012-01-04,33,3,9,70
2012-01-04,33,3,44,185
2012-01-04,34,17,9,58
2012-01-04,34,17,45,104
2012-01-04,34,17,52,2
2012-01-04,36,18,9,8
2012-01-04,36,18,30,1
2012-01-04,36,18,44,83
2012-01-04,37,13,5,53
2012-01-04,37,13,45,50
2012-01-04,37,13,53,2
2012-01-04,38,14,9,56
2012-01-04,38,14,45,65
2012-01-04,38,14,52,1
2012-01-04,39,8,9,15
2012-01-04,39,8,36,11
2012-01-04,40,13,5,81
2012-01-04,40,13,45,54
2012-01-04,41,12,16,41
2012-01-04,41,12,68,55
2012-01-04,42,14,5,15
2012-01-04,42,14,45,69
2012-01-04,42,14,82,2
2012-01-04,43,11,16,72
2012-01-04,43,11,37,19
2012-01-04,44,12,5,53
2012-01-04,44,12,62,1
2012-01-04,44,12,68,64
2012-01-04,45,16,9,29
2012-01-05,1,1,9,16
2012-01-05,1,1,28,1
2012-01-05,2,14,5,138
2012-01-05,2,14,11,3
2012-01-05,2,14,44,157
2012-01-05,3,7,5,75
2012-01-05,3,7,45,111
2012-01-05,4,9,9,128
2012-01-05,4,9,27,6
2012-01-05,5,12,16,38
2012-01-05,5,12,37,17
2012-01-05,6,14,9,88
2012-01-05,6,14,14,2
2012-01-05,6,14,45,49
2012-01-05,7,6,5,130
2012-01-05,7,6,7,1
2012-01-05,7,6,23,17
2012-01-05,8,4,5,61
2012-01-05,8,4,23,10
2012-01-05,8,4,59,1
2012-01-05,9,17,5,133
2012-01-05,9,17,45,75
2012-01-05,10,12,5,58
2012-01-05,10,12,21,1
2012-01-05,10,12,37,26
2012-01-05,11,10,9,49
2012-01-05,11,10,61,1
2012-01-05,11,10,68,59
2012-01-05,12,11,16,32
2012-01-05,12,11,37,27
2012-01-05,12,11,79,2
2012-01-05,13,6,5,186
2012-01-05,13,6,36,106
2012-01-05,13,6,46,3
2012-01-05,14,16,9,40
2012-01-05,14,16,25,13
2012-01-05,14,16,50,2
2012-01-05,14,16,70,2
2012-01-05,15,13,5,112
2012-01-05,15,13,45,103
2012-01-05,15,13,61,2
2012-01-05,15,13,93,5
2012-01-05,16,2,16,32
2012-01-05,16,2,25,196
2012-01-05,16,2,50,1
2012-01-05,17,20,9,277
2012-01-05,17,20,37,69
2012-01-05,17,20,48,182
2012-01-05,18,17,5,47
2012-01-05,18,17,37,18
2012-01-05,19,15,16,48
2012-01-05,19,15,69,2
2012-01-05,19,15,83,9
2012-01-05,20,7,5,205
2012-01-05,20,7,18,1
2012-01-05,20,7,41,38
2012-01-05,20,7,74,5
2012-01-05,21,3,5,92
2012-01-05,21,3,44,84
2012-01-05,22,10,9,107
2012-01-05,22,10,68,48
2012-01-05,22,10,93,2
2012-01-05,23,17,5,57
2012-01-05,23,17,45,35
2012-01-05,24,9,6,129
2012-01-05,24,9,43,94
2012-01-05,24,9,60,2
2012-01-05,25,13,9,125
2012-01-05,25,13,45,80
2012-01-05,25,13,81,12
2012-01-05,26,17,5,56
2012-01-05,26,17,45,37
2012-01-05,27,10,9,35
2012-01-05,27,10,21,3
2012-01-05,27,10,68,40
2012-01-05,28,7,5,54
2012-01-05,28,7,45,68
2012-01-05,29,3,8,63
2012-01-05,29,3,41,23
2012-01-05,29,3,45,93
2012-01-05,30,19,16,52
2012-01-05,30,19,44,259
2012-01-05,30,19,49,1
2012-01-05,30,19,65,1
2012-01-05,31,17,9,110
2012-01-05,31,17,45,97
2012-01-05,32,13,9,96
2012-01-05,32,13,19,1
2012-01-05,32,13,45,32
2012-01-05,33,3,9,343
2012-01-05,33,3,44,357
2012-01-05,33,3,92,5
2012-01-05,34,17,9,95
2012-01-05,34,17,31,5
2012-01-05,34,17,45,165
2012-01-05,34,17,52,4
2012-01-05,36,18,9,41
2012-01-05,36,18,30,1
2012-01-05,36,18,44,131
2012-01-05,37,13,5,43
2012-01-05,37,13,45,62
2012-01-05,37,13,53,1
2012-01-05,38,14,9,132
2012-01-05,38,14,45,142
2012-01-05,38,14,52,1
2012-01-05,39,8,9,12
2012-01-05,39,8,36,20
2012-01-05,40,13,5,80
2012-01-05,40,13,45,54
2012-01-05,40,13,51,3
2012-01-05,40,13,55,1
2012-01-05,41,12,16,56
2012-01-05,41,12,61,1
2012-01-05,41,12,68,96
2012-01-05,42,14,5,112
2012-01-05,42,14,45,106
2012-01-05,42,14,82,2
2012-01-05,43,11,16,73
2012-01-05,43,11,37,26
2012-01-05,44,12,5,48
2012-01-05,44,12,62,3
2012-01-05,44,12,68,63
2012-01-05,45,16,9,45
2012-01-06,1,1,9,12
2012-01-06,1,1,28,2
2012-01-06,2,14,5,145
2012-01-06,2,14,11,2
2012-01-06,2,14,44,109
2012-01-06,3,7,5,81
2012-01-06,3,7,45,76
2012-01-06,4,9,9,124
2012-01-06,4,9,27,4
2012-01-06,4,9,90,1
2012-01-06,5,12,16,22
2012-01-06,5,12,32,1
2012-01-06,5,12,37,22
2012-01-06,6,14,9,40
2012-01-06,6,14,45,58
2012-01-06,7,6,5,105
2012-01-06,7,6,7,4
2012-01-06,7,6,23,11
2012-01-06,8,4,5,14
2012-01-06,8,4,23,4
2012-01-06,8,4,93,6
2012-01-06,9,17,5,94
2012-01-06,9,17,45,69
2012-01-06,10,12,5,48
2012-01-06,10,12,37,40
2012-01-06,11,10,9,17
2012-01-06,11,10,61,7
2012-01-06,11,10,68,53
2012-01-06,12,11,16,34
2012-01-06,12,11,37,25
2012-01-06,12,11,79,1
2012-01-06,12,11,93,1
2012-01-06,13,6,5,164
2012-01-06,13,6,36,102
2012-01-06,13,6,46,3
2012-01-06,14,16,9,5
2012-01-06,14,16,25,21
2012-01-06,14,16,50,1
2012-01-06,14,16,70,3
2012-01-06,15,13,5,100
2012-01-06,15,13,45,112
2012-01-06,15,13,61,3
2012-01-06,16,2,16,27
2012-01-06,16,2,25,168
2012-01-06,16,2,39,1
2012-01-06,16,2,50,1
2012-01-06,17,20,9,239
2012-01-06,17,20,37,63
2012-01-06,17,20,48,119
2012-01-06,17,20,71,1
2012-01-06,18,17,5,11
2012-01-06,18,17,37,4
2012-01-06,19,15,16,26
2012-01-06,19,15,69,1
2012-01-06,19,15,83,9
2012-01-06,19,15,93,5
2012-01-06,20,7,5,157
2012-01-06,20,7,18,1
2012-01-06,20,7,41,26
2012-01-06,20,7,74,2
2012-01-06,21,3,5,77
2012-01-06,21,3,44,65
2012-01-06,21,3,91,1
2012-01-06,22,10,9,136
2012-01-06,22,10,68,60
2012-01-06,23,17,5,63
2012-01-06,23,17,29,1
2012-01-06,23,17,45,44
2012-01-06,24,9,6,80
2012-01-06,24,9,43,103
2012-01-06,25,13,9,79
2012-01-06,25,13,45,89
2012-01-06,25,13,81,10
2012-01-06,26,17,5,70
2012-01-06,26,17,45,42
2012-01-06,27,10,9,84
2012-01-06,27,10,68,51
2012-01-06,27,10,80,1
2012-01-06,28,7,5,30
2012-01-06,28,7,45,53
2012-01-06,29,3,8,37
2012-01-06,29,3,41,9
2012-01-06,29,3,45,87
2012-01-06,29,3,56,1
2012-01-06,30,19,16,56
2012-01-06,30,19,44,239
2012-01-06,31,17,9,57
2012-01-06,31,17,45,74
2012-01-06,31,17,93,12
2012-01-06,32,13,9,55
2012-01-06,32,13,45,48
2012-01-06,33,3,9,115
2012-01-06,33,3,44,214
2012-01-06,33,3,92,1
2012-01-06,34,17,9,55
2012-01-06,34,17,45,122
2012-01-06,34,17,93,3
2012-01-06,36,18,9,41
2012-01-06,36,18,44,151
2012-01-06,37,13,5,38
2012-01-06,37,13,45,72
2012-01-06,37,13,53,2
2012-01-06,38,14,9,84
2012-01-06,38,14,45,108
2012-01-06,39,8,9,6
2012-01-06,39,8,36,15
2012-01-06,40,13,5,88
2012-01-06,40,13,45,68
2012-01-06,41,12,16,55
2012-01-06,41,12,61,7
2012-01-06,41,12,68,105
2012-01-06,42,14,5,63
2012-01-06,42,14,45,72
2012-01-06,42,14,82,1
2012-01-06,43,11,16,79
2012-01-06,43,11,37,32
2012-01-06,43,11,73,1
2012-01-06,44,12,5,95
2012-01-06,44,12,68,40
2012-01-06,45,16,9,32
2012-01-07,1,1,9,2
2012-01-07,1,1,28,1
2012-01-07,2,14,5,71
2012-01-07,2,14,44,169
2012-01-07,3,7,5,136
2012-01-07,3,7,45,124
2012-01-07,4,9,9,190
2012-01-07,4,9,27,6
2012-01-07,5,12,16,40
2012-01-07,5,12,20,1
2012-01-07,5,12,37,30
2012-01-07,6,14,9,110
2012-01-07,6,14,45,57
2012-01-07,7,6,5,190
2012-01-07,7,6,7,4
2012-01-07,7,6,23,26
2012-01-07,8,4,5,72
2012-01-07,8,4,23,14
2012-01-07,9,17,5,120
2012-01-07,9,17,10,4
2012-01-07,9,17,45,75
2012-01-07,10,12,5,120
2012-01-07,10,12,21,1
2012-01-07,10,12,37,46
2012-01-07,11,10,9,67
2012-01-07,11,10,61,4
2012-01-07,11,10,68,84
2012-01-07,12,11,16,54
2012-01-07,12,11,37,51
2012-01-07,12,11,93,7
2012-01-07,13,6,5,170
2012-01-07,13,6,36,95
2012-01-07,13,6,46,9
2012-01-07,13,6,93,1
2012-01-07,14,16,9,43
2012-01-07,14,16,25,9
2012-01-07,14,16,70,1
2012-01-07,15,13,5,220
2012-01-07,15,13,17,4
2012-01-07,15,13,45,171
2012-01-07,15,13,49,2
2012-01-07,15,13,61,2
2012-01-07,16,2,16,42
2012-01-07,16,2,25,250
2012-01-07,16,2,50,2
2012-01-07,17,20,9,154
2012-01-07,17,20,37,82
2012-01-07,17,20,48,249
2012-01-07,17,20,71,1
2012-01-07,18,17,5,23
2012-01-07,18,17,37,12
2012-01-07,19,15,16,31
2012-01-07,19,15,69,1
2012-01-07,19,15,83,18
2012-01-07,20,7,5,46
2012-01-07,20,7,18,4
2012-01-07,20,7,41,30
2012-01-07,20,7,74,4
2012-01-07,21,3,5,32
2012-01-07,21,3,44,82
2012-01-07,21,3,91,1
2012-01-07,22,10,9,89
2012-01-07,22,10,68,72
2012-01-07,23,17,5,26
2012-01-07,23,17,29,1
2012-01-07,23,17,45,34
2012-01-07,24,9,6,61
2012-01-07,24,9,43,130
2012-01-07,24,9,60,2
2012-01-07,25,13,9,168
2012-01-07,25,13,45,163
2012-01-07,25,13,50,1
2012-01-07,25,13,81,19
2012-01-07,26,17,5,36
2012-01-07,26,17,45,62
2012-01-07,27,10,9,51
2012-01-07,27,10,68,66
2012-01-07,28,7,5,27
2012-01-07,28,7,35,3
2012-01-07,28,7,45,61
2012-01-07,29,3,8,21
2012-01-07,29,3,41,24
2012-01-07,29,3,45,83
2012-01-07,29,3,56,5
2012-01-07,30,19,16,44
2012-01-07,30,19,44,234
2012-01-07,30,19,49,1
2012-01-07,30,19,65,1
2012-01-07,31,17,9,66
2012-01-07,31,17,45,60
2012-01-07,31,17,93,3
2012-01-07,32,13,9,81
2012-01-07,32,13,19,2
2012-01-07,32,13,45,63
2012-01-07,32,13,51,2
2012-01-07,32,13,58,2
2012-01-07,32,13,86,2
2012-01-07,32,13,93,8
2012-01-07,33,3,9,180
2012-01-07,33,3,44,230
2012-01-07,33,3,92,4
2012-01-07,34,17,9,95
2012-01-07,34,17,31,2
2012-01-07,34,17,45,133
2012-01-07,34,17,52,1
2012-01-07,36,18,9,98
2012-01-07,36,18,44,155
2012-01-07,37,13,5,112
2012-01-07,37,13,45,65
2012-01-07,37,13,53,2
2012-01-07,38,14,9,142
2012-01-07,38,14,45,132
2012-01-07,39,8,9,4
2012-01-07,39,8,36,11
2012-01-07,40,13,5,197
2012-01-07,40,13,45,113
2012-01-07,40,13,55,4
2012-01-07,41,12,16,84
2012-01-07,41,12,61,2
2012-01-07,41,12,68,164
2012-01-07,41,12,93,2
2012-01-07,42,14,5,68
2012-01-07,42,14,45,58
2012-01-07,43,11,16,110
2012-01-07,43,11,37,38
2012-01-07,44,12,5,31
2012-01-07,44,12,62,5
2012-01-07,44,12,68,55
2012-01-07,45,16,9,19
2012-01-08,1,1,9,22
2012-01-08,1,1,28,4
2012-01-08,1,1,51,1
2012-01-08,2,14,5,157
2012-01-08,2,14,11,4
2012-01-08,2,14,44,154
2012-01-08,2,14,85,2
2012-01-08,3,7,5,54
2012-01-08,3,7,45,113
2012-01-08,4,9,9,123
2012-01-08,4,9,27,20
2012-01-08,5,12,16,71
2012-01-08,5,12,32,1
2012-01-08,5,12,37,32
2012-01-08,6,14,9,66
2012-01-08,6,14,45,62
2012-01-08,7,6,5,213
2012-01-08,7,6,7,3
2012-01-08,7,6,23,32
2012-01-08,8,4,5,101
2012-01-08,8,4,23,17
2012-01-08,8,4,93,1
2012-01-08,9,17,5,86
2012-01-08,9,17,10,1
2012-01-08,9,17,45,8
2012-01-08,9,17,93,1
2012-01-08,10,12,5,75
2012-01-08,10,12,37,42
2012-01-08,11,10,9,56
2012-01-08,11,10,68,73
2012-01-08,12,11,16,61
2012-01-08,12,11,37,43
2012-01-08,13,6,5,282
2012-01-08,13,6,36,142
2012-01-08,13,6,93,7
2012-01-08,14,16,9,16
2012-01-08,14,16,50,1
2012-01-08,14,16,70,2
2012-01-08,15,13,5,232
2012-01-08,15,13,17,2
2012-01-08,15,13,45,175
2012-01-08,15,13,49,1
2012-01-08,15,13,61,3
2012-01-08,15,13,93,3
2012-01-08,16,2,16,47
2012-01-08,16,2,25,300
2012-01-08,17,20,9,156
2012-01-08,17,20,37,99
2012-01-08,17,20,48,172
2012-01-08,18,17,5,16
2012-01-08,18,17,37,28
2012-01-08,19,15,16,26
2012-01-08,19,15,69,1
2012-01-08,19,15,83,9
2012-01-08,20,7,5,132
2012-01-08,20,7,18,1
2012-01-08,20,7,41,34
2012-01-08,20,7,74,4
2012-01-08,21,3,5,140
2012-01-08,21,3,44,76
2012-01-08,22,10,9,100
2012-01-08,22,10,68,76
2012-01-08,23,17,5,36
2012-01-08,23,17,29,1
2012-01-08,23,17,45,51
2012-01-08,24,9,6,146
2012-01-08,24,9,43,120
2012-01-08,25,13,9,179
2012-01-08,25,13,12,1
2012-01-08,25,13,45,140
2012-01-08,25,13,81,22
2012-01-08,26,17,5,90
2012-01-08,26,17,45,67
2012-01-08,27,10,9,68
2012-01-08,27,10,68,91
2012-01-08,27,10,93,2
2012-01-08,28,7,5,78
2012-01-08,28,7,35,1
2012-01-08,28,7,45,76
2012-01-08,29,3,8,51
2012-01-08,29,3,41,34
2012-01-08,29,3,45,115
2012-01-08,29,3,56,5
2012-01-08,30,19,16,72
2012-01-08,30,19,44,317
2012-01-08,30,19,49,1
2012-01-08,30,19,65,1
